front,back
"Softwaretests: Unterschied zwischen statisch und dynamisch","Statisch: Code wird nicht ausgeführt. Dynamisch: Code wird ausgeführt"
"Softwaretests: Unterschied zwischen Blackbox und Whitebox","Blackbox: Code ist evtl. nicht bekannt, Ausgabe wird betrachtet. Whitebox: Code ist bekannt, Verarbeitung wird betrachtet"
"Code-Analyse: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","I.d.R. automatisierte Überprüfung auf Code-Qualität und sinnigen Code. Statisch, Whitebox"
"Penetration-Testing: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Suche nach Schwachstellen in einem Sicherheitssystem. Dynamisch, Blackbox"
"Code-Review: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Händische Überprüfung des Codes eines anderen Entwicklers. Statisch, Whitebox"
"End-to-End-Test: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Simulierung von realen Benutzer-Interaktionen. Dynamisch, Blackbox"
"Unit-Tests: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Testen einzelner Funktionen mit paarweise Eingaben und erwarteten Ausgaben. Dynamisch, Blackbox und/oder Whitebox"
"Anweisungsüberdeckung: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Prüfung, ob jede Anweisung mindestens einmal ausgeführt wird. Statisch, Whitebox"
"Zweigüberdeckung: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","statisch, Whitebox"
"Explorative Test: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Erkundung einer Anwendung ohne vorher festgelegte Testpläne. Statisch und/oder dynamisch, Blackbox und/oder Whitebox"
"Integrations-Tests: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Tests zum Zusammenspiel einzelner Units. Dynamisch, Blackbox und/oder Whitebox"
"Use-Case-Test: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Überprüfung nach Test-Szenarien, die einzelne Use-Cases beschreiben. Dynamisch, Blackbox"
"Load-Test: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Festellung der Belastbarkeit eines Systems. Dynamisch, Blackbox"
"Akzeptanz-Test: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Überprüfung auf Erfüllung von Anforderungen und Erwartungen. Dynamisch, Blackbox"
"Regressions-Test: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Wiederholter Durchlauf von Testfällen, insbesondere nach Modifikationen am Code. Dynamisch, Blackbox"
"Smoke-Test: was ist das? Ist es statisch oder dynamisch? Blackbox oder Whitebox?","Sicherstellung der Stabilität eines Software-Builds. Dynamisch, Blackbox"
"Bestandteile des Kreislaufs im Test Driven Development","1 - Red: Write a test, watch it fail. 2 - Green: Write just enough to pass the test. 3 - Refactor: Improve the code without changing its behaviour"
"Empfohlener Aufbau eines einzelnen Unit-Tests","AAA-Muster: Arrange (setze Eingabe und erwartete Ausgabe), Act (führe zu testende Methode aus), Assert (vergleiche erwartete Ausgabe mit tatsächlicher Ausgabe)"
"Grenzwertanalyse","Grenzen von Mengen an gültigen und ungültigen Eingabewerten ausmachen, welche die gleiche Ausgabe erzielen"
"Rekursion: Was enthält ein Call-Stack? Was enthält ein Stack-Frame?","Ein Call-Stack enthält mehrere Stackframes (last in, first out). Ein Stackframe enthält: return address, arguments, local variables"
"Rekursive Algorithmen im Vergleich zu iterativen Algorithmen: Nenne 2 Vorteile und 2 Nachteile", "Vorteile: übersichtlicher Quelltext, intuitive Lösungsstrategien. Nachteile: Menge möglicher Eingabewerte evtl. durch Rekursionstiefe begrenzt, in der Regel längere Ausführungsdauer und/oder Speicherverbrauch"